count,zip
1,33975
1,33976
1,33977
1,33978
1,33979
1,33980
1,33981
1,33982
1,33983
1,33984
1,33985
1,33986
1,33987
1,33988
1,33989
1,33990
1,33991
1,33992
1,33993
1,33994
1,33995
1,33996
1,33997
1,33998
1,33999
1,34000
1,34001
1,34002
1,34003
1,34004
1,34005
1,34006
1,34007
1,34008
1,34009
1,34010
1,34011
1,34012
1,34013
1,34014
1,34015
1,34016
1,34017
1,34018
1,34019
1,34020
1,34021
1,34022
1,34023
1,34024
1,34025
1,34026
1,34027
1,34028
1,34029
1,34030
1,34031
1,34032
1,34033
1,34034
1,34035
1,34036
1,34037
1,34038
1,34039
1,34040
1,34041
1,34042
1,34043
1,34044
1,34045
1,34046
1,34047
1,34048
1,34049
1,34050
1,34051
1,34052
1,34053
1,34054
1,34055
1,34056
1,34057
1,34058
1,34059
1,34060
1,34061
1,34062
1,34063
1,34064
1,34065
1,34066
1,34067
1,34068
1,34069
1,34070
1,34071
1,34072
1,34073
1,34074
1,34075
1,34076
1,34077
1,34078
1,34079
1,34080
1,34081
1,34082
1,34083
1,34084
1,34085
1,34086
1,34087
1,34088
1,34089
1,34090
1,34091
1,34092
1,34093
1,34094
1,34095
1,34096
1,34097
1,34098
1,34099
1,34100
1,34101
1,34102
1,34103
1,34104
1,34105
1,34106
1,34107
1,34108
1,34109
1,34110
1,34111
1,34112
1,34113
1,34114
1,34115
1,34116
1,34117
1,34118
1,34119
1,34120
1,34121
1,34122
1,34123
1,34124
1,34125
1,34126
1,34127
1,34128
1,34129
1,34130
1,34131
1,34132
1,34133
1,34134
1,34135
1,34136
1,34137
1,34138
1,34139
1,34140
1,34141
1,34142
1,34143
1,34144
1,34145
1,34146
1,34147
1,34148
1,34149
1,34150
1,34151
1,34152
1,34153
1,34154
1,34155
1,34156
1,34157
1,34158
1,34159
1,34160
1,34161
1,34162
1,34163
1,34164
1,34165
1,34166
1,34167
1,34168
1,34169
1,34170
1,34171
1,34172
1,34173
1,34174
1,34175
1,34176
1,34177
1,34178
1,34179
1,34180
1,34181
1,34182
1,34183
1,34184
1,34185
1,34186
1,34187
1,34188
1,34189
1,34190
1,34191
1,34192
1,34193
1,34194
1,34195
1,34196
1,34197
1,34198
1,34199
1,34200
1,34201
1,34202
1,34203
1,34204
1,34205
1,34206
1,34207
1,34208
1,34209
1,34210
1,34211
1,34212
1,34213
1,34214
1,34215
1,34216
1,34217
1,34218
1,34219
1,34220
2,34221
1,34222
1,34223
1,34224
1,34225
1,34226
1,34227
1,34228
1,34229
1,34230
1,34231
1,34232
1,34233
1,34234
1,34235
1,34236
1,34237
1,34238
1,34239
1,34240
1,34241
1,34242
1,34243
1,34244
1,34245
1,34246
1,34247
1,34248
1,34249
1,34250
1,34251
1,34252
1,34253
1,34254
1,34255
1,34256
1,34257
1,34258
1,34259
1,34260
1,34261
1,34262
1,34263
1,34264
1,34265
1,34266
1,34267
1,34268
1,34269
1,34270
1,34271
1,34272
1,34273
1,34274
1,34275
1,34276
1,34277
1,34278
1,34279
1,34280
1,34281
1,34282
1,34283
1,34284
1,34285
1,34286
1,34287
1,34288
1,34289
1,34290
1,34291
1,34292
1,34293
1,34294
1,34295
1,34296
1,34297
1,34298
1,34299
1,34300
1,34301
1,34302
1,34303
1,32344
1,99999
